array              : MTH                  MDH                   EDH
[9,5,7,2,1,6,4,8,3]: 41.97201943397522,   2.5777223110198975,   4.172761917114258
[1,4,9,7,2,5,8,6,3]: 0.2505931854248047,  0.03906536102294922,  0.05382966995239258
[9,4,2,1,3,5,7,8,6]: 1.24169921875,       0.40172386169433594,  0.4516568183898926
[1,5,8,4,9,6,7,2,3]: 6.252938270568848,   1.5357916355133057,   1.5141375064849854
[1,4,5,2,9,3,7,8,6]: 11.237112283706665,  1.8189122676849365,   3.1505656242370605
[9,7,2,3,1,6,5,8,4]: 19.603272438049316,  0.2570981979370117,   1.8629801273345947
[8,1,3,2,5,6,4,7,9]: 0.03333306312561035, 0.011277914047241211, 0.012478351593017578
[8,2,9,5,6,7,1,4,3]: 30.744733572006226,  0.17162346839904785,  4.356178283691406
[7,4,6,5,9,8,1,3,2]: 29.113986492156982,  0.7434906959533691,   1.7350051403045654
[1,6,4,3,9,5,2,7,8]: 47.96467995643616,   1.7499065399169922,   5.80804967880249
